skill_name,jobs_count,total_clean_jobposts
cad,1588,
feedback,1584,
innovation,1570,
chemical engineering,1566,
fax,1564,
ccna,1560,
rest,1558,
spring,1556,
pmp,1549,
reliable,1548,
gmp,1538,
children,1519,
kitchen,1507,
engineers,1507,
video,1503,
payroll,1500,
selection,1496,
relationship management,1493,
account management,1484,
semiconductor,1482,
management system,1480,
business process,1479,
effective communication,1475,
api,1475,
balance,1464,
structures,1460,
pricing,1455,
active directory,1450,
restaurant,1450,
fast learner,1449,
organization skills,1441,
workflow,1434,
lan,1430,
campaigns,1426,
apac,1419,
advisory,1414,
courses,1402,
rules,1399,
drafting,1399,
eye for detail,1399,
petrochemical,1393,
conducting,1392,
reading,1391,
jsp,1391,
business analysis,1385,
listening,1383,
google,1383,
interpersonal communication skills,1378,
physics,1375,
scrum,1370,
structural engineering,1367,
dynamics,1365,
director,1356,
community,1352,
supervisory experience,1352,
fmcg,1351,
electronic engineering,1349,
contracts,1344,
governance,1338,
backup,1334,
career opportunities,1330,
schedules,1328,
automotive,1326,
professional experience,1314,
scheduling,1313,
programming languages,1309,
wealth,1304,
routing,1299,
digital marketing,1296,
compensation,1294,
interpersonal skill,1293,
surveying,1292,
wan,1287,
efficiency,1282,
pay,1279,
environmental,1278,
windows server,1274,
respect,1273,
contractors,1266,
power point,1266,
laboratory,1261,
language skills,1258,
script,1253,
git,1251,
firewall,1251,
mvc,1251,
lcci,1249,
capital,1245,
switches,1243,
shell scripting,1237,
hiring,1234,
sas,1231,
product development,1230,
reviews,1210,
stakeholder management,1209,
purchasing,1206,
dns,1205,
less,1198,
designs,1197,
organizing,1196,
lean,1196,
software engineering,1195,
virtualization,1195,
systematic,1192,
evaluation,1181,
channel,1176,
warehousing,1176,
cash,1171,
resource management,1171,
drawing,1168,
metrics,1166,
b2b,1164,
project manager,1160,
matlab,1159,
professional services,1159,
real estate,1153,
ethics,1144,
sense of responsibility,1141,
apache,1140,
hadoop,1138,
wireless,1137,
taleo,1137,
developers,1127,
json,1127,
wealth management,1126,
quantity surveying,1117,
hygiene,1109,
transportation,1109,
associate,1102,
property,1101,
product knowledge,1095,
business analyst,1095,
publications,1094,
privacy,1093,
freight,1092,
vba,1084,
debugging,1079,
solver,1077,
architectures,1077,
ads,1075,
intermediate,1074,
interfaces,1072,
technical support,1071,
team oriented,1069,
sourcing,1067,
routers,1066,
editing,1063,
ccnp,1063,
ajax,1062,
supply chain management,1061,
work ethic,1060,
design patterns,1060,
disciplined,1058,
biology,1056,
quality assurance,1055,
gst,1051,
websphere,1051,
instrumentation,1049,
telecommunication,1047,
teaching experience,1045,
accounting software,1039,
native,1033,
adobe photoshop,1030,
treasury,1030,
mentoring,1029,
accountability,1029,
big data,1021,
etl,1020,
vendor management,1019,
continuous improvement,1018,
