skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017,y2015_71338,y2016_232021,y2017_129322
mobile phones,no_filter,,35,28,15,,,
efficiency improvement,subsuper,,35,20,3,,,
punctual,no_filter,,36,665,225,,,
software quality,no_filter,,36,219,36,,,
cash register,no_filter,,36,19,17,,,
retirement,no_filter,,36,26,13,,,
excellent communicator,subsuper,,37,351,319,,,
adults,subsuper,,37,136,65,,,
job postings,no_filter,,37,48,10,,,
tankers,subsuper,,38,175,78,,,
organizational change,subsuper,,38,62,54,,,
goal setting,no_filter,,38,37,28,,,
manage client relationships,subsuper,,38,32,14,,,
decision making skills,subsuper,,38,616,0,,,
negotiating contracts,subsuper,,39,41,24,,,
customs clearance,subsuper,,40,24,24,,,
idea generation,no_filter,,40,39,22,,,
patents,no_filter,,41,57,35,,,
know your customer,no_filter,,41,34,24,,,
creative thinking,subsuper,,42,474,257,,,
delivering results,no_filter,,43,140,187,,,
logo,no_filter,,44,11,5,,,
police,no_filter,,45,239,142,,,
accounting and finance,subsuper,,45,236,134,,,
eye for details,no_filter,,46,1597,950,,,
quality management systems,subsuper,,46,61,63,,,
animals,no_filter,,46,123,61,,,
client due diligence,no_filter,,46,54,58,,,
train staff,no_filter,,47,50,21,,,
spokesperson,no_filter,,47,31,14,,,
professional experience,no_filter,,48,1314,910,,,
scale up,no_filter,,48,28,39,,,
athletes,no_filter,,48,31,15,,,
organisational skills,no_filter,,48,1589,0,,,
startups,no_filter,,49,99,82,,,
medical affairs,subsuper,,49,46,40,,,
not for profit,subsuper,,49,82,23,,,
people skills,subsuper,,49,846,0,,,
hr generalist,no_filter,,50,361,189,,,
hair,no_filter,,50,166,75,,,
separation,no_filter,,50,86,69,,,
imagination,no_filter,,51,103,62,,,
learning solutions,no_filter,,51,18,21,,,
management of change,subsuper,,51,20,12,,,
newspaper,no_filter,,51,7,6,,,
galleries,no_filter,,51,5,3,,,
language skills,no_filter,,51,1258,0,,,
advertising agency,subsuper,,53,173,100,,,
sport,no_filter,,53,131,77,,,
vibration,subsuper,,53,115,44,,,
business excellence,no_filter,,53,54,17,,,
institutional investors,no_filter,,53,19,8,,,
staff engagement,subsuper,,53,6,7,,,
quick learner,no_filter,,55,568,394,,,
basic accounting,subsuper,,55,401,266,,,
humanities,no_filter,,56,119,72,,,
shareholder,no_filter,,56,23,8,,,
strategist,subsuper,,57,52,48,,,
company secretarial,subsuper,,58,32,23,,,
scholarships,no_filter,,58,3,8,,,
project management office,subsuper,,59,42,31,,,
landlords,no_filter,,59,14,7,,,
strong business acumen,no_filter,,60,997,693,,,
corruption,no_filter,,60,82,42,,,
customer due diligence,no_filter,,61,91,35,,,
full sdlc,subsuper,,62,272,175,,,
leisure,no_filter,,62,121,59,,,
call center,subsuper,,63,316,141,,,
dispensing,no_filter,,63,43,25,,,
terminations,no_filter,,63,9,9,,,
webinars,no_filter,,64,30,35,,,
author,no_filter,,65,147,117,,,
fans,subsuper,,65,30,28,,,
networking events,subsuper,,65,18,15,,,
computer literate,subsuper,,66,3463,1556,,,
work ethic,no_filter,,66,1060,718,,,
selling skills,subsuper,,66,269,0,,,
caring,no_filter,,67,269,180,,,
personal assistant,no_filter,,67,73,73,,,
remedy,subsuper,,68,136,88,,,
fund managers,no_filter,,68,15,16,,,
alarms,no_filter,,68,8,16,,,
interpersonal communication skills,subsuper,,68,1378,0,,,
curiosity,no_filter,,69,483,476,,,
conversation,no_filter,,69,173,143,,,
empowerment,no_filter,,69,63,51,,,
new product launch,no_filter,,69,13,11,,,
reality,subsuper,,70,156,130,,,
optimizations,no_filter,,70,45,39,,,
assortment,no_filter,,70,19,16,,,
prioritisation,no_filter,,71,316,168,,,
loyal,no_filter,,71,38,31,,,
joiners,no_filter,,71,32,27,,,
obesity,no_filter,,71,23,1,,,
fast learner,no_filter,,72,1449,1006,,,
flexible working,subsuper,,73,806,431,,,
vacation,no_filter,,73,109,68,,,
cooling,no_filter,,73,151,58,,,
permit to work,no_filter,,73,57,49,,,
lecturer,no_filter,,73,66,43,,,
ms words,no_filter,,74,2029,843,,,
speaker,subsuper,,74,278,212,,,
customer success,no_filter,,74,54,57,,,
supplier quality,subsuper,,74,56,29,,,
transitions,subsuper,,74,27,29,,,
retail operations,no_filter,,75,146,111,,,
arena,subsuper,,75,131,86,,,
driving license,subsuper,,76,3309,1642,,,
brand standards,no_filter,,76,18,14,,,
multicultural,no_filter,,77,782,528,,,
high tech,no_filter,,77,281,207,,,
pain,no_filter,,77,149,72,,,
tank,no_filter,,77,71,49,,,
eye for detail,no_filter,,78,1399,806,,,
calm,no_filter,,78,488,362,,,
education and training,subsuper,,78,53,39,,,
applications support,no_filter,,79,71,24,,,
cuisine,no_filter,,80,914,145,,,
lifting,subsuper,,80,393,124,,,
formation,no_filter,,80,53,40,,,
forth,no_filter,,81,51,34,,,
seniors,no_filter,,83,127,78,,,
frames,no_filter,,84,94,60,,,
landlord,no_filter,,84,9,6,,,
next generation sequencing,no_filter,,85,76,34,,,
forward thinking,no_filter,,86,282,200,,,
fiber,no_filter,,86,191,101,,,
blog,no_filter,,86,63,62,,,
myanmar,no_filter,,87,79,75,,,
letter of credit,no_filter,,87,115,71,,,
vendor relationships,subsuper,,88,51,37,,,
tenant,no_filter,,88,22,32,,,
influential,no_filter,,89,199,173,,,
analog,subsuper,,90,424,213,,,
communications strategy,no_filter,,90,27,26,,,
after sales support,subsuper,,90,12,14,,,
ranges,no_filter,,91,62,68,,,
money laundering,no_filter,,94,327,139,,,
pragmatic,no_filter,,97,430,290,,,
advocacy,no_filter,,97,106,72,,,
emergency response,subsuper,,98,65,24,,,
result oriented,subsuper,,99,2358,1242,,,
containers,no_filter,,102,115,117,,,
privacy,no_filter,,103,1093,1119,,,
new media,subsuper,,103,208,124,,,
23,numerical,,103,125,103,,,
resilience,no_filter,,104,510,400,,,
legal documents,subsuper,,105,65,48,,,
black,subsuper,,108,324,966,,,
libraries,subsuper,,108,756,592,,,
character,no_filter,,109,583,341,,,
growth strategy,no_filter,,109,25,20,,,
flights,no_filter,,110,25,27,,,
attention to details,no_filter,,112,2345,1491,,,
analytical abilities,subsuper,,112,223,166,,,
alliances,no_filter,,112,52,21,,,
board of directors,no_filter,,112,34,20,,,
employee benefits,subsuper,,113,120,123,,,
theory,no_filter,,114,638,360,,,
hardworking,no_filter,,116,2250,1127,,,
artists,no_filter,,116,130,46,,,
month end close,no_filter,,117,22,17,,,
results oriented,no_filter,,120,2249,1385,,,
general accounting,subsuper,,121,105,88,,,
diligent,no_filter,,122,875,544,,,
ocean,subsuper,,122,211,86,,,
producers,no_filter,,122,60,41,,,
recruitment and selection,subsuper,,123,22,15,,,
admissions,no_filter,,126,43,44,,,
contact centre,no_filter,,127,234,154,,,
customer focus,no_filter,,129,884,608,,,
negotiation skills,no_filter,,129,3129,0,,,
quality systems,no_filter,,131,208,150,,,
lessons learned,no_filter,,131,44,35,,,
good interpersonal skills,subsuper,,131,5019,0,,,
multi tasking,no_filter,,133,2320,1429,,,
native,no_filter,,133,1033,862,,,
memory,no_filter,,134,438,261,,,
building relationships,no_filter,,138,236,233,,,
futures,no_filter,,138,300,227,,,
customer oriented,no_filter,,140,2351,1172,,,
